model,id,department,old_course_code,new_course_code
CourseAllocation,79159,Humanities,LITT 211-COMM-B-B-B-B-B-B,LITT 211-B
CourseAllocation,79161,Humanities,LITT 212-COMM-B-B-B-B-B-B,LITT 212-B
CourseAllocation,73507,Physical Sciences,MATH 125(ASTA)-B-B-B-B-B-B,MATH 125-B
CourseAllocation,73510,Physical Sciences,MATH 221(ASTA)-G-G-G-G-G-G,MATH 221-G
CourseAllocation,73512,Physical Sciences,MATH 241(ASTA)-K-K-K-K-K-K,MATH 241-K
CourseAllocation,73517,Physical Sciences,MATH 302(ASTA)-B-B-B-B-B-B,MATH 302-B
CourseAllocation,73519,Physical Sciences,MATH 342(ASTA)-B-B-B-B-B-B,MATH 342-B
CourseAllocation,73556,Physical Sciences,MATH 100(BIO)-G-G-G-G-G-G,MATH 100-G
CourseAllocation,73563,Physical Sciences,CHEM 231(BIO)-E-E-E-E-E-E,CHEM 231-E
CourseAllocation,73620,Physical Sciences,CHEM 120(CHE)-A-A-A-A-A-A,CHEM 120-A
CourseAllocation,73630,Physical Sciences,PHYS 131(CHE)-A-A-A-A-A-A,PHYS 131-A
CourseAllocation,73631,Physical Sciences,PHYS 161(CHE)-B-B-B-B-B-B,PHYS 161-B
CourseAllocation,73652,Physical Sciences,CHEM 322(che)-A-A-A-A-A-A,CHEM 322-A
CourseAllocation,73656,Physical Sciences,CHEM 332(CHE)-A-A-A-A-A-A,CHEM 332-A
CourseAllocation,73673,Physical Sciences,MATH 421(che)-C-C-C-C-C-C,MATH 421-C
CourseAllocation,73675,Physical Sciences,CHEM 102(EPHY)-A-A-A-A-A-A,CHEM 102-A
CourseAllocation,73679,Physical Sciences,MATH 122(EPHY)-A-A-A-A-A-A,MATH 122-A
CourseAllocation,73681,Physical Sciences,PHYS 131(EPHY)-A-A-A-A-A-A,PHYS 131-A
CourseAllocation,73682,Physical Sciences,PHYS 161(EPHY)-B-B-B-B-B-B,PHYS 161-B
CourseAllocation,73686,Physical Sciences,MATH 221(EPHY)-G-G-G-G-G-G,MATH 221-G
CourseAllocation,73688,Physical Sciences,PHYS 232(EPHY)-A-A-A-A-A-A,PHYS 232-A
CourseAllocation,73690,Physical Sciences,PHYS 241(EPHY)-B-B-B-B-B-B,PHYS 241-B
CourseAllocation,73708,Physical Sciences,CHEM 102(GEO)-B-B-B-B-B-B,CHEM 102-B
CourseAllocation,73713,Physical Sciences,MATH 122(GEO)-A-A-A-A-A-A,MATH 122-A
CourseAllocation,73720,Physical Sciences,CHEM 120(ICHE)-A-A-A-A-A-A,CHEM 120-A
CourseAllocation,73722,Physical Sciences,MATH 122(ICHE)-A-A-A-A-A-A,MATH 122-A
CourseAllocation,73727,Physical Sciences,CHEM 211(ICHE)-D-D-D-D-D-D,CHEM 211-D
CourseAllocation,73728,Physical Sciences,CHEM 231(ICHE)-D-D-D-D-D-D,CHEM 231-D
CourseAllocation,73730,Physical Sciences,MATH 221(ICHE)-H-H-H-H-H-H,MATH 221-H
CourseAllocation,73731,Physical Sciences,MATH 222(iche)-F-F-F-F-F-F,MATH 222-F
CourseAllocation,73732,Physical Sciences,MATH 241(ICHE)-F-F-F-F-F-F,MATH 241-F
CourseAllocation,73736,Physical Sciences,CHEM 322(ICHE)-A-A-A-A-A-A,CHEM 322-A
CourseAllocation,73737,Physical Sciences,CHEM 323(ICHE)-C-C-C-C-C-C,CHEM 323-C
CourseAllocation,73762,Physical Sciences,CHEM 120(mat)-A-A-A-A-A-A,CHEM 120-A
CourseAllocation,73769,Physical Sciences,PHYS 131(mat)-A-A-A-A-A-A,PHYS 131-A
CourseAllocation,73770,Physical Sciences,PHYS 161(mat)-B-B-B-B-B-B,PHYS 161-B
CourseAllocation,73771,Physical Sciences,ZOOL 101(MAT)-B-B-B-B-B-B,ZOOL 101-B
CourseAllocation,73773,Physical Sciences,CHEM 231(mat)-D-D-D-D-D-D,CHEM 231-D
CourseAllocation,73783,Physical Sciences,PHYS 232(mat)-A-A-A-A-A-A,PHYS 232-A
CourseAllocation,73784,Physical Sciences,PHYS 241(mat)-B-B-B-B-B-B,PHYS 241-B
CourseAllocation,73787,Physical Sciences,MATH 302(MAT)-D-D-D-D-D-D,MATH 302-D
CourseAllocation,73790,Physical Sciences,MATH 322(MAT)-C-C-C-C-C-C,MATH 322-C
CourseAllocation,73792,Physical Sciences,MATH 342(mat)-B-B-B-B-B-B,MATH 342-B
CourseAllocation,73803,Physical Sciences,MATH 421(MAT)-B-B-B-B-B-B,MATH 421-B
CourseAllocation,73841,Physical Sciences,PHYS 232(PHY)-A-A-A-A-A-A,PHYS 232-A
CourseAllocation,73842,Physical Sciences,PHYS 241(PHY)-B-B-B-B-B-B,PHYS 241-B
CourseAllocation,73850,Physical Sciences,PHYS 392(PHY)-A-A-A-A-A-A,PHYS 392-A
